epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3206.76,2.24567,1.19174,1.78665,0.88854,0.76176,0.83327,0.54275,2.35936,1.15239,1.83339,0.000742625,0.000742625,0.000742625
43,3282.82,2.22462,1.15862,1.79504,0.89381,0.7589,0.84016,0.54642,2.32531,1.1145,1.83508,0.00073025,0.00073025,0.00073025
44,3358.89,2.24553,1.14321,1.78457,0.90254,0.74984,0.83942,0.55812,2.29331,1.09736,1.83174,0.000717875,0.000717875,0.000717875
45,3435.16,2.2179,1.15086,1.78774,0.89868,0.76285,0.84203,0.56478,2.29433,1.0767,1.83823,0.0007055,0.0007055,0.0007055
46,3511.12,2.19018,1.13765,1.78618,0.9027,0.77244,0.84286,0.55372,2.32083,1.12785,1.84038,0.000693125,0.000693125,0.000693125
47,3587.7,2.20558,1.15014,1.77845,0.88408,0.74091,0.8201,0.54656,2.29755,1.169,1.82363,0.00068075,0.00068075,0.00068075
48,3663.92,2.21179,1.14212,1.77664,0.9109,0.76097,0.8325,0.56342,2.3234,1.09073,1.82031,0.000668375,0.000668375,0.000668375
49,3740.22,2.151,1.09829,1.76602,0.91594,0.75659,0.84555,0.56174,2.2848,1.07173,1.82617,0.000656,0.000656,0.000656
50,3817.16,2.16603,1.10678,1.77603,0.89751,0.78354,0.84345,0.5617,2.29516,1.07106,1.83786,0.000643625,0.000643625,0.000643625
51,3893.57,2.18338,1.118,1.76922,0.9051,0.7666,0.83946,0.56055,2.3026,1.07754,1.83687,0.00063125,0.00063125,0.00063125
52,3970,2.16481,1.09867,1.77941,0.90868,0.76615,0.84351,0.55929,2.2988,1.06515,1.83461,0.000618875,0.000618875,0.000618875
53,4045.94,2.16258,1.10405,1.76589,0.88994,0.75415,0.83177,0.55179,2.28791,1.09527,1.82837,0.0006065,0.0006065,0.0006065
54,4122.45,2.14689,1.09399,1.76854,0.88998,0.77997,0.83868,0.55747,2.27038,1.06424,1.82214,0.000594125,0.000594125,0.000594125
55,4197.25,2.14027,1.06626,1.76807,0.91577,0.77982,0.84716,0.55819,2.31009,1.06304,1.83627,0.00058175,0.00058175,0.00058175
56,4271.13,2.10073,1.04464,1.76483,0.88925,0.7796,0.84516,0.56425,2.27649,1.03799,1.82471,0.000569375,0.000569375,0.000569375
